V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dInAvg(ang),dOutAvg(ang),dIn (ang),dOut (ang)
V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dIn Avg(ang),dOut Avg(ang),1.8442285009479387,1.3197136998171886
2500.0,1.5119999999999998,2.45,0.05576759203693042,0.08976377728141083,0.2449489742783178,2.1972975488194697,1.366242813713249,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
2700.0,1.446,2.406,0.0533521434036496,0.08818521028899838,0.23570226039551584,2.2099779096034697,1.3381384018184515,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
2900.0,1.3719999999999999,2.3680000000000003,0.05064094273998034,0.08682047019628386,0.227429413073671,2.246469330633526,1.3114152881739027,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
3100.0,1.3419999999999999,2.512,0.04954094639630854,0.09198504837061641,0.21997067253202993,2.2209979169858416,1.1973749395569822,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
3300.0,1.216,2.3080000000000003,0.044915826299461274,0.08466296150386045,0.21320071635561044,2.3741344322043836,1.2606198921160037,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
3500.0,1.262,2.198,0.046605297734113524,0.08069930242373673,0.20701966780270625,2.221792798694147,1.2840540796784647,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
3700.0,1.21,2.0340000000000003,0.044695383791437844,0.07477094024921302,0.2013468165642073,2.253184252687123,1.347679658191416,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
3900.0,1.182,2.026,0.04366642306179391,0.07448119545219066,0.19611613513818404,2.2463309281561794,1.317766017276349,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
4100.0,1.09,1.9580000000000002,0.040282986195232386,0.0720163479432612,0.19127301391900148,2.3747588271937468,1.3291318875485367,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
4300.0,1.04,1.984,0.03844259002118799,0.07295921253742685,0.1867718419094071,2.4298291642504126,1.2811106204038856,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
4500.0,1.038,1.8519999999999999,0.038368952126415806,0.06816708804270862,0.18257418583505536,2.3797755778231813,1.3402043708338995,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
4700.0,1.03,1.8840000000000001,0.03807438390101103,0.06933000705887561,0.1786474002526241,2.346598318941673,1.2894171229125702,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
4900.0,1.024,1.834,0.03785344034121654,0.06751261900555099,0.1749635530559413,2.3116174141591523,1.296768952061008,2.2932895707809466,1.3046095418680552,1.8442285009479387,1.3197136998171886
